40,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,34,36,36,35,36,35,36,35,36,36,36,36,36,36,35,36,36,36,36,36,36,38,36,36,36,36,36,36,36,35,36,35,36,36,36,36,36,36,36,36,36,36,36,36,36,35,36,36,35,35,36,36,36,36,36,36,34,35,36,35,36,36,36,36,35,36,35,36,36,36,36,36,36,35,36,36,36,36,36,36,36,38,36,36,36,34,36,36,36,36,36,36,36,36,34,35,36,36,35,36,36,36,36,36,36,35,35,35,36,36,36,36,36,36,34,36,35,36,36,35,35,35,36,35,36,36,35,34,35,36,35,36,36,36,36,36,35,34,36,36,36,37,33,36,36,35,35,36,33,36,35,36,35,34,36,35,35,36,36,36,35,36,35,36,35,35,35,36,36,36,36,36,36,36,35,36,34,36,35,36,36,35,36,36,36,36,36,36,35,36,36,35,36,35,36,35,35,36,35,34,36,38,34,36,36,36,35,36,36,34,36,36,35,35,36,34,35,35,36,36,36,36,34,36,36,36,35,34,36,35,35,34,34,36,34,35,34,35,34,36,36,36,36,35,35,36,35,35,36,35,36,35,35,35,35,34,36,36,36,35,36,38,35,36,33,35,35,34,36,34,35,36,33,34,36,36,35,35,36,33,36,34,33,34,35,34,35,33,35,36,35,36,36,34,35,34,33,35,35,35,35,36,34,35,34,34,34,35,34,35,34,34,35,36,35,36,36,35,35,35,35,36,36,35,34,34,33,36,35,34,35,36,34,35,34,33,34,35,34,33,36,35,36,35,36,36,36,36,34,34,35,34,35,36,35,35,34,34,33,36,36,35,34,36,32,36,35,35,35,36,33,36,35,36,34,34,34,35,36,34,35,38,35,36,35,35,34,34,33,34,34,36,36,34,36,36,34,36,35,35,36,36,36,36,36,36,35,35,35,33,36,33,35,34,36,35,33,36,36,35,32,36,34,36,34,35,34,34,35,35,34,33,35,34,34,35,35,34,34,34,33,37,36,34,34,36,35,32,35,34,33,35,35,36,34,35,36,36,34,34,32
58,54,54,54,54,54,54,54,54,54,54,53,54,54,53,54,53,54,53,54,54,54,54,53,53,54,53,54,54,53,54,54,54,54,54,54,53,54,51,54,54,52,53,54,54,54,53,54,53,54,54,54,53,54,54,54,53,53,54,53,56,53,53,53,53,53,52,54,54,54,53,54,54,54,53,53,54,54,54,54,54,53,53,53,54,53,53,54,54,54,53,54,54,53,54,50,53,54,53,54,54,54,54,52,54,53,53,54,54,52,54,54,51,54,53,54,53,53,53,53,54,52,54,53,52,53,54,54,53,54,54,53,54,53,52,53,52,52,52,53,53,54,54,50,54,53,54,53,52,52,53,53,53,51,54,53,53,52,53,54,52,54,52,53,50,52,54,53,53,54,53,51,52,52,54,52,53,53,53,53,54,52,54,54,52,54,51,54,53,51,53,53,52,51,53,50,54,53,53,54,54,53,54,53,54,52,52,52,51,52,54,54,52,54,52,53,54,52,52,53,51,53,52,53,53,51,53,53,53,52,54,53,50,53,53,54,52,53,51,51,54,53,54,54,52,53,52,52,52,53,53,52,52,51,51,52,52,52,53,51,52,52,52,50,54,54,53,53,52,52,50,53,50,52,53,50,52,54,52,51,52,51,50,50,50,51,48,54,50,54,52,52,51,51,52,51,52,50,53,52,53,53,52,51,52,52,52,50,51,52,53,51,53,51,52,53,51,47,52,54,53,54,50,53,52,53,49,49,53,53,52,53,51,50,51,54,51,53,52,51,53,51,52,52,52,52,51,51,49,53,53,52,53,53,54,52,52,54,50,50,52,52,49,52,51,53,51,51,51,52,50,54,52,53,52,53,51,49,52,52,54,52,51,53,51,51,49,50,52,53,53,49,50,52,50,50,52,52,51,52,51,54,52,52,51,52,52,51,52,51,54,52,49,52,53,52,53,49,52,51,54,51,51,52,52,51,52,49,52,50,53,48,50,48,51,50,47,50,51,51,51,52,52,54,50,50,53,49,53,49,53,53,53,50,53,51,52,51,53,49,51,52,51,52,45,48,51,51,52,49,51,53,52,52,52,52,51,52,51,52,54,53,50,49,49,53,51,49,49,49,51,51,50,51,51,52,51,51,48,47
58,54,54,54,54,54,54,54,54,54,54,54,54,53,54,54,54,54,54,54,54,54,54,54,54,54,54,53,54,54,54,54,53,53,54,54,53,54,54,54,53,54,54,54,53,54,53,54,54,54,54,53,54,54,54,53,54,54,54,52,56,53,54,53,53,54,54,53,53,54,54,52,54,54,54,48,53,54,53,53,53,54,53,54,53,53,54,54,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,53,53,54,54,53,54,51,54,53,53,53,52,54,54,54,54,54,56,52,53,53,54,53,52,53,54,52,54,52,53,54,52,53,54,52,54,52,54,53,54,54,53,54,54,54,53,53,51,51,54,53,52,53,54,53,53,54,54,54,54,54,54,52,54,52,53,54,53,54,52,52,53,52,53,53,50,53,54,54,53,54,52,51,53,52,53,52,52,51,52,53,52,54,53,50,51,50,53,53,50,54,52,52,52,54,54,53,54,54,54,52,52,53,52,53,53,52,51,52,52,50,51,53,54,53,50,54,54,52,53,54,53,54,52,54,50,54,55,52,54,52,53,50,52,51,53,51,53,52,53,52,51,51,53,53,52,53,52,52,52,53,53,53,52,51,53,53,53,52,53,53,53,51,52,53,52,52,54,51,52,54,51,54,52,51,54,53,53,53,54,51,53,53,51,50,52,52,53,53,52,53,52,54,51,53,53,53,49,52,49,53,51,53,51,50,54,50,50,52,52,51,54,51,52,53,54,52,53,51,53,53,53,52,51,53,51,53,53,50,51,52,54,51,51,54,52,52,49,52,50,52,54,54,48,53,53,48,55,49,53,52,51,51,52,49,53,52,52,52,52,49,53,54,51,46,52,51,51,53,52,52,53,51,51,52,51,52,50,50,52,54,50,52,52,49,52,51,53,52,54,51,51,52,50,50,51,51,51,53,52,51,53,53,49,51,51,50,54,51,51,50,51,51,52,52,52,51,51,52,51,52,50,53,49,51,53,52,51,49,50,52,52,50,52,50,52,52,54,51,52,52,51,50,52,53,51,50,54,51,51,53,50,53,51,52,53,49,52,51,51,51,52,49,51,44,52,50,53,52,49,51,48,50,52,48,52,50,53,52,53,51,50,50,49,54,51,49
76,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,71,71,72,71,71,71,72,72,72,72,72,71,69,72,72,72,72,72,71,72,71,71,72,72,71,72,71,72,71,69,70,72,69,71,69,72,71,72,70,71,72,74,72,72,71,71,69,71,71,71,72,70,70,72,71,71,70,70,71,72,72,70,71,70,70,72,71,70,72,71,70,71,70,69,71,70,71,70,71,71,70,71,70,71,68,71,72,70,70,69,70,70,72,71,72,69,70,71,71,70,70,72,70,71,70,70,71,70,71,70,69,71,69,68,70,70,71,71,71,67,72,69,70,71,70,69,72,72,70,69,67,72,70,72,72,72,67,70,69,72,71,71,72,67,71,71,71,69,67,71,69,69,70,70,68,72,68,70,70,67,69,73,70,70,70,70,70,67,70,71,67,70,69,69,69,71,69,70,71,72,70,71,69,69,68,70,68,68,67,69,69,67,72,68,67,65,71,68,68,70,71,70,69,71,69,70,71,70,67,70,67,71,68,71,68,71,71,67,70,70,63,71,65,69,70,70,68,69,69,69,71,71,66,70,67,71,70,70,65,63,64,68,68,68,69,69,68,67,67,62,69,69,72,70,69,68,71,68,67,67,71,66,67,69,70,65,71,69,71,72,68,68,69,70,67,67,68,67,71,69,68,72,69,68,69,69,67,69,67,68,70,70,67,66,72,71,70,63,70,70,70,71,66,70,66,68,67,70,69,70,68,69,71,67,67,71,68,70,67,67,69,69,69,71,69,64,65,69,68,68,69,69,69,69,69,67,69,69,68,65,65,68,68,66,66,68,70,68,66,69,68,68,67,67,68,71,68,66,70,64,70,69,72,69,67,71,69,69,69,68,68,69,70,66,71,70,71,67,67,68,71,69,64,65,69,66,69,68,66,65,69,68,69,64,69,67,70,66,68,66,65,71,69,66,70,65,70,67,70,62,68,67,69,65,67,66,67,65,66,67,68,68,65,64,70,64,67,67,61,66,67,64,65,66,69,66,68,64,68,65,70,66,66,70,70,64,69,67,65,66,69,65,65,69,67,63,65,68,63,70,65,69,67,63,67,65,68,67,67,64,69,66,67,67,68,64,69,66,68,66,59
