40,36,36,36,36,36,36,36,36,36,36,36,36,36,35,36,36,35,36,36,35,36,35,36,36,36,36,36,35,35,36,36,36,36,36,36,36,35,36,36,36,36,36,36,36,36,36,36,36,36,35,36,36,36,36,36,34,36,36,36,37,36,35,36,36,36,35,36,36,36,36,36,35,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,36,35,35,35,36,35,36,35,36,36,36,36,36,36,36,36,36,36,36,36,36,35,36,36,36,36,36,36,36,36,36,38,36,36,35,36,36,36,36,36,35,36,35,36,36,36,36,35,36,36,36,36,35,36,34,35,36,36,36,36,36,36,35,36,36,36,36,35,35,35,36,36,36,36,36,36,36,35,36,36,36,35,36,36,34,35,36,36,36,36,36,37,35,36,36,35,36,35,35,36,36,35,36,35,36,36,35,36,34,35,36,36,36,36,34,36,36,35,35,36,36,35,34,35,36,36,36,36,34,34,35,36,36,35,36,35,36,34,35,35,35,35,36,35,36,35,36,33,36,35,36,38,34,34,36,35,35,35,35,34,36,36,36,36,35,36,36,34,35,33,34,35,35,36,35,35,36,35,36,36,35,36,36,36,35,36,35,34,36,36,36,35,32,35,33,34,36,36,36,36,35,36,35,36,35,34,36,36,36,36,34,39,36,36,36,36,34,36,35,35,36,36,36,35,35,34,36,36,34,34,36,34,35,36,36,36,35,33,35,35,36,35,35,36,35,34,36,34,35,36,36,35,35,36,36,36,33,34,34,32,35,33,33,33,36,36,33,34,36,35,36,36,36,32,36,32,34,36,35,35,36,36,35,36,36,35,36,34,33,35,35,35,36,36,36,36,36,34,34,33,35,35,34,33,34,36,36,36,36,32,34,34,35,36,34,35,34,34,34,36,33,36,34,36,33,35,36,35,35,36,36,38,36,36,36,35,35,35,34,35,36,36,36,36,36,34,35,36,35,34,34,33,31,33,36,35,36,35,35,33,34,35,35,34,36,35,35,36,35,36,35,36,36,35,36,30,36,34,35,35,35,34,35,36,34,36,35,34,35,36,35,37,36,35,34,34,35,34,34,36,33,34,36,34,35,36,35,35,35,36,32
58,54,54,54,54,54,54,54,54,54,54,54,54,54,54,53,54,54,54,54,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,53,54,54,54,53,54,54,53,54,54,54,54,54,54,54,54,54,54,54,52,54,54,56,53,53,54,54,54,54,54,54,53,52,53,54,54,52,53,54,54,54,53,54,52,53,54,53,53,52,54,54,54,52,54,54,54,54,53,54,53,53,54,53,52,53,54,54,53,54,54,54,53,53,53,54,52,54,54,54,54,53,52,56,51,53,53,54,54,54,53,53,52,53,54,53,53,53,54,53,54,54,54,52,54,51,53,51,53,52,54,54,52,52,53,54,54,53,52,53,54,53,54,51,53,53,54,52,51,53,50,51,52,53,53,52,54,53,52,52,53,54,51,56,52,53,54,53,52,52,52,51,54,54,54,53,50,54,52,53,54,53,52,54,52,54,53,51,52,52,52,52,53,52,54,53,52,52,52,52,53,54,53,51,50,53,53,52,53,53,53,53,51,52,53,54,54,53,53,53,53,54,53,56,52,49,51,54,53,53,54,51,52,51,49,52,54,50,53,52,53,54,53,51,54,52,51,53,49,52,50,51,52,54,51,53,54,51,54,53,47,53,52,52,50,53,51,50,54,53,52,54,52,54,49,52,53,51,53,51,51,50,53,56,52,52,53,54,52,53,53,51,51,53,53,53,51,53,52,54,52,53,49,51,48,53,51,50,53,52,50,52,51,53,51,49,49,53,54,49,52,54,51,52,51,51,51,49,53,49,51,51,50,52,52,50,50,51,53,52,51,52,53,53,53,50,50,53,53,53,52,53,52,52,51,52,48,51,53,50,54,52,49,53,52,53,51,52,54,47,53,53,52,53,52,53,54,50,53,54,50,47,52,49,53,52,48,53,53,54,51,52,53,52,51,53,51,52,51,51,53,50,50,54,52,54,51,51,53,49,49,51,51,53,53,51,51,51,51,52,50,50,48,50,50,52,51,51,52,52,47,54,49,53,53,53,53,52,52,52,53,50,51,53,52,51,53,51,54,53,52,53,50,48,53,54,48,47,52,51,54,52,52,48,50,51,51,50,52,53,51,51,46,51,52,53,51,50,52,52,53,51,51
58,54,54,54,54,54,54,54,54,54,54,54,54,54,54,53,54,53,54,54,54,54,54,54,54,54,54,53,54,54,54,54,53,53,53,54,54,54,54,54,54,53,54,54,54,54,54,53,54,53,54,53,54,54,54,54,54,53,54,54,56,54,53,54,53,53,53,54,53,54,54,54,54,54,54,53,54,54,54,54,54,54,54,54,54,53,53,54,54,53,53,54,52,54,52,54,54,53,53,54,52,54,54,53,54,54,53,54,52,53,54,54,54,52,53,53,54,54,54,53,55,53,54,54,52,54,53,53,53,53,54,53,54,54,54,54,54,52,54,53,54,53,53,53,53,52,52,53,52,54,52,53,53,54,50,54,52,53,53,53,51,51,54,54,51,54,53,54,54,52,54,52,53,53,54,54,53,53,52,53,52,53,54,53,54,50,53,49,52,53,53,52,52,52,54,51,53,54,52,51,52,52,54,53,54,53,53,51,54,51,52,54,53,53,53,52,51,54,53,52,53,53,52,52,51,52,54,53,52,53,54,54,52,53,52,53,54,52,53,54,53,53,53,54,53,52,53,53,52,52,53,54,53,53,49,52,53,52,52,54,50,53,52,52,50,50,51,52,53,51,52,51,50,52,54,54,52,52,52,52,53,54,52,53,51,52,51,53,52,50,53,54,54,52,52,52,52,51,51,52,55,52,51,48,50,52,50,51,50,54,51,54,53,52,53,52,53,51,53,52,53,53,49,50,50,52,51,52,53,52,53,52,53,54,53,51,51,52,48,53,52,50,49,51,52,53,53,53,53,51,50,53,53,53,53,53,50,52,53,50,55,52,54,52,53,52,51,52,49,53,52,50,51,51,50,54,51,51,51,53,53,51,53,54,52,51,53,53,51,51,51,53,51,51,50,49,53,54,53,47,53,49,53,52,53,52,49,51,51,51,52,49,53,52,50,53,53,52,52,48,48,52,53,51,49,52,51,51,51,54,52,52,53,51,51,52,49,53,53,52,52,49,52,53,50,50,52,53,49,53,51,51,54,51,53,52,49,50,53,51,53,48,48,53,53,51,51,52,54,51,52,50,54,51,51,53,51,53,46,49,53,53,52,51,51,51,49,52,47,48,52,51,50,50,52,52,53,50,51,48
76,72,72,72,72,72,72,72,72,72,72,72,72,72,72,71,71,72,72,72,72,72,72,72,71,72,72,71,72,72,72,72,72,72,72,72,72,71,72,71,72,71,71,71,71,71,70,72,72,72,72,72,72,71,72,70,72,71,72,72,74,72,70,68,71,70,72,72,68,72,72,72,70,71,72,70,71,70,71,72,71,71,67,72,72,71,70,71,71,70,70,71,72,69,71,72,72,69,72,72,72,72,72,70,70,70,72,71,70,69,70,72,69,69,70,71,72,70,71,71,73,71,71,68,72,70,70,71,70,72,70,70,71,68,71,71,71,72,72,70,68,71,70,67,67,69,69,71,71,71,69,69,71,71,70,69,70,71,71,72,71,70,68,70,72,71,70,71,68,71,70,70,72,70,71,70,69,68,68,70,70,70,69,70,69,70,70,69,71,70,71,71,71,69,68,70,68,68,69,71,68,66,70,71,70,68,70,71,71,69,69,69,67,72,70,68,71,71,70,69,70,68,69,68,69,70,69,70,72,68,70,68,70,68,69,70,70,68,68,69,72,67,69,67,70,70,69,70,69,71,72,69,68,69,71,72,70,67,66,66,68,71,67,69,66,69,68,72,70,69,69,65,66,68,69,70,69,67,69,72,70,71,72,69,69,68,70,69,69,66,68,68,71,69,68,65,68,68,70,69,72,69,66,70,68,71,65,69,67,67,68,68,70,71,68,66,66,68,67,64,69,70,67,65,69,66,69,70,67,69,66,70,68,70,69,68,68,69,68,66,70,69,71,68,68,66,71,68,71,70,63,65,69,72,67,69,70,68,66,67,69,69,68,68,71,68,63,69,68,67,66,65,70,65,68,66,68,69,67,68,66,66,66,68,63,66,69,67,66,68,68,67,67,70,69,69,68,69,66,68,67,65,69,66,65,68,69,66,67,66,69,65,69,69,66,71,64,70,62,65,69,70,67,64,67,70,66,71,66,67,68,66,70,69,66,68,66,69,65,70,66,67,67,69,67,69,70,69,70,66,63,68,67,65,68,67,67,70,67,67,71,66,69,67,67,65,65,70,67,67,64,68,65,60,69,68,68,66,67,66,69,67,68,65,65,64,66,69,66,70,69,70,68,66,67,62,67,65,63,63
