40,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,36,36,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,36,38,36,36,36,36,36,36,35,35,35,36,36,36,36,36,36,35,36,36,36,36,36,36,36,36,36,35,34,35,36,36,36,36,35,35,36,36,34,36,36,35,35,36,36,35,36,36,35,36,35,36,36,36,36,36,36,35,36,36,36,38,36,36,36,36,36,36,36,35,36,35,36,36,36,36,34,35,35,35,36,36,36,36,36,34,36,36,36,36,36,36,36,35,36,36,36,36,36,34,36,36,35,34,35,34,36,36,35,36,36,36,35,36,36,36,36,35,36,35,36,38,35,36,34,35,36,33,35,35,35,35,36,35,35,33,35,36,36,35,35,36,36,36,34,36,34,36,36,35,33,34,36,34,34,36,36,36,36,32,35,36,35,35,36,35,36,35,35,35,36,34,35,33,36,33,36,36,34,36,34,38,36,35,36,36,36,36,35,35,35,36,36,35,36,35,36,36,35,35,36,35,35,36,35,35,36,36,36,35,36,35,36,36,36,35,35,34,35,34,33,34,36,35,36,34,35,35,34,36,35,36,35,35,36,35,35,36,35,34,34,37,35,33,36,34,35,35,36,36,34,36,36,33,35,36,34,34,36,35,36,35,34,34,36,35,35,35,36,35,35,34,35,36,33,33,35,36,35,34,36,36,36,35,36,35,35,35,35,36,36,35,34,36,35,34,35,35,35,36,34,38,36,36,35,36,34,32,35,34,35,36,33,34,35,34,33,35,36,35,35,34,34,35,35,33,36,34,35,35,35,36,35,35,36,35,36,36,36,35,36,35,34,34,36,33,35,34,34,36,36,34,32,33,35,34,36,34,35,34,36,34,36,34,36,34,35,34,36,34,36,34,33,35,34,34,34,36,36,36,35,34,33,34,35,36,35,33,34,36,33,34,36,36,36,32,36,36,36,35,35,33,34,35,34,35,35,35,36,34,32,36,35,34,36,33,35,34,35,34,34,35,34,34,33,33,33,34,34,34,34,36,34,34,35,36,35,33,36,35,34
58,54,54,54,54,54,54,54,54,54,54,53,54,54,54,54,54,53,54,53,54,54,53,54,54,54,54,54,54,53,53,54,54,54,54,54,53,54,54,54,54,54,53,53,54,54,54,54,54,54,54,54,54,54,52,54,54,54,54,53,55,53,53,54,54,54,54,53,53,54,54,54,53,54,54,53,54,53,54,54,54,52,54,53,54,52,53,53,54,53,53,54,54,53,53,51,53,53,53,54,53,54,54,54,54,54,52,54,53,54,52,54,53,51,54,53,54,53,54,52,56,54,54,52,52,53,52,53,53,54,54,54,53,51,52,51,54,53,52,54,53,52,51,52,52,53,53,52,52,52,53,54,53,52,54,54,53,53,51,53,54,53,52,53,53,54,54,52,49,54,52,53,52,52,54,52,52,51,53,54,56,53,52,54,53,53,52,53,54,54,53,52,53,52,53,53,51,53,52,52,53,54,50,54,51,53,51,51,52,53,50,53,52,51,53,53,54,53,52,52,54,53,54,52,52,50,52,52,54,52,54,51,52,51,52,53,52,54,53,52,54,51,54,54,53,52,53,51,54,50,51,54,50,54,52,50,52,53,51,53,52,54,52,52,54,53,54,52,52,53,52,52,54,53,53,53,52,52,52,54,52,53,51,47,51,51,52,50,52,53,51,50,53,54,53,54,50,52,52,54,53,52,51,50,50,54,53,50,50,51,52,50,51,52,51,52,51,54,52,50,53,51,53,54,52,54,51,54,54,52,51,53,51,52,54,52,52,52,54,52,51,52,51,54,51,49,49,52,48,54,52,51,52,52,52,49,53,52,52,53,56,54,49,54,54,54,50,54,52,51,53,52,52,52,49,51,51,49,52,53,52,52,52,51,49,52,51,48,52,51,48,53,49,51,52,48,52,50,52,51,54,51,52,49,53,50,52,48,53,50,50,51,53,48,52,54,49,49,52,52,53,51,53,53,50,52,52,54,52,54,52,51,52,51,51,54,51,50,53,51,50,53,51,51,52,54,51,52,53,53,50,51,53,47,52,51,52,49,52,51,51,52,52,51,51,51,51,51,52,51,52,53,51,52,53,52,50,54,51,52,53,50,49,52,50,51,51,49,51,51,54,50,49,51,53,52,52,51,51,50
58,54,54,54,54,54,54,54,54,54,54,54,54,54,54,53,54,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,51,53,52,54,53,54,54,54,54,54,54,54,54,53,54,54,54,54,53,54,54,54,54,54,54,53,56,53,54,54,54,54,53,54,53,54,54,54,54,54,53,54,53,53,54,52,53,53,53,53,54,54,53,53,54,53,53,53,54,52,54,52,53,54,53,53,53,53,53,52,53,54,53,54,49,51,51,54,54,53,54,53,54,53,53,54,56,53,51,54,54,54,53,53,52,52,54,53,51,51,54,54,54,53,54,54,53,53,54,52,52,54,54,53,53,54,53,54,54,53,54,53,51,53,54,52,54,53,54,54,53,53,52,52,53,53,52,54,53,51,52,52,54,53,53,53,54,53,52,51,53,53,54,52,54,52,53,54,51,51,51,54,53,53,53,53,53,54,54,53,53,53,54,51,52,54,51,53,53,52,54,53,53,52,53,53,51,53,52,54,53,54,51,52,54,49,53,52,54,50,52,52,52,53,52,53,56,52,54,53,54,54,53,51,52,53,53,54,54,54,54,52,52,53,52,52,51,51,53,52,54,53,53,52,53,51,52,54,50,53,54,53,50,51,54,52,52,50,52,51,52,50,52,51,54,53,53,54,48,53,53,51,51,51,54,52,56,53,51,49,53,52,54,54,51,52,54,52,53,53,53,52,53,49,53,51,54,52,54,53,53,51,53,52,52,52,53,49,52,53,53,54,50,53,54,52,52,53,51,51,52,49,50,51,53,52,51,52,53,50,50,53,54,52,52,52,53,52,51,52,52,52,49,53,50,53,52,50,50,53,51,52,49,47,49,54,53,50,49,53,48,52,51,52,53,51,51,49,50,49,52,50,49,52,53,50,50,53,53,51,51,50,50,51,51,52,52,49,51,50,49,53,50,54,52,53,55,49,47,51,50,53,51,51,51,54,52,53,52,48,47,51,53,54,50,53,51,53,52,51,54,53,51,50,52,52,52,52,52,50,47,52,49,51,53,51,51,51,51,49,51,52,53,52,51,50,50,52,51,52,51,53,51,48,51,53,53,51,51,50,46,50,51,51,53,50,45,51,51,51,50,52,52,49,53,50
76,72,72,72,72,72,71,72,72,72,72,72,71,72,72,72,72,72,72,72,72,71,72,72,72,72,71,71,72,72,71,72,72,72,72,71,71,71,71,71,71,72,72,71,71,72,71,71,72,71,72,72,72,72,72,71,70,72,71,71,73,72,72,72,72,72,72,71,72,71,70,72,71,71,72,71,72,71,70,71,70,72,72,70,68,72,72,71,72,71,72,70,69,72,70,70,70,70,72,71,69,71,69,72,71,72,71,69,70,71,72,71,71,70,72,69,71,71,70,70,73,69,69,71,71,72,70,69,71,71,69,70,71,72,72,71,70,71,69,71,72,68,70,71,71,71,70,71,68,70,70,72,70,67,70,72,71,71,70,72,70,69,69,71,70,72,71,69,71,70,71,68,71,69,71,70,69,69,72,69,71,70,70,70,67,67,71,69,68,69,69,71,72,69,70,71,71,71,71,66,71,70,69,71,70,71,71,71,70,71,72,72,69,69,67,71,68,70,71,71,70,69,69,70,69,69,69,65,66,70,72,71,69,68,69,70,67,69,72,66,64,69,71,68,71,69,72,66,68,72,70,71,68,71,69,71,70,68,71,68,67,68,68,66,70,67,72,69,67,70,69,71,68,72,69,69,70,72,69,68,69,67,69,71,69,67,70,68,69,67,64,70,67,71,70,67,70,70,66,65,72,69,68,71,69,71,67,69,69,70,67,71,68,69,67,67,69,70,70,68,68,69,64,68,66,66,72,65,72,69,69,67,71,69,71,66,70,67,70,70,69,70,68,66,69,70,68,67,69,67,63,70,70,67,70,61,68,64,67,68,71,70,70,66,67,68,69,68,68,66,68,66,69,67,66,72,68,66,70,71,68,69,71,66,67,69,67,67,67,70,66,67,72,71,69,70,66,69,69,63,68,66,68,70,67,68,69,68,66,65,67,67,68,66,66,67,64,65,70,69,70,71,68,67,69,63,63,66,66,69,70,66,69,67,67,68,70,69,67,70,65,69,68,66,65,67,67,69,66,70,66,68,69,66,66,69,70,65,68,67,67,67,67,67,65,69,67,69,69,65,67,68,64,67,69,69,61,66,64,67,70,66,69,65,66,68,67,66,66,67,70,69,66,66,68,64,69,65,70,60
