40,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,36,36,36,36,36,36,36,36,36,35,36,35,36,36,36,36,36,36,36,36,35,36,36,36,35,36,36,36,36,36,35,36,35,36,36,35,35,36,36,38,35,36,36,36,36,36,36,36,36,36,36,36,36,35,36,36,36,36,34,36,35,36,36,36,36,36,35,34,35,35,36,35,36,35,35,35,36,36,36,36,34,36,35,36,36,36,36,36,36,36,36,36,36,35,35,35,36,36,35,38,35,36,35,36,33,36,35,36,36,36,36,35,36,35,36,35,35,36,36,36,36,36,36,36,36,36,36,36,36,34,35,36,36,36,35,36,35,34,36,36,36,36,35,36,36,35,34,35,36,34,36,35,34,35,36,34,33,36,36,38,35,36,36,36,36,35,36,36,36,35,35,36,34,36,36,36,35,36,36,35,35,36,35,35,35,35,36,36,35,35,36,36,36,36,36,36,35,35,36,35,36,35,34,36,35,35,35,35,36,36,35,36,34,35,35,34,36,35,35,37,36,36,35,36,36,36,33,33,35,35,36,34,35,34,36,35,36,35,34,36,36,35,35,36,34,35,35,35,36,35,36,36,35,36,36,35,36,35,35,33,36,36,35,35,32,35,36,36,35,33,34,35,33,36,33,34,34,35,36,37,34,36,35,36,36,36,35,35,35,35,34,36,35,36,34,36,36,35,35,36,36,35,34,35,34,35,33,35,36,36,36,35,36,35,36,36,35,36,36,34,36,35,36,35,35,36,35,35,34,35,34,33,35,36,35,36,36,33,36,36,34,36,35,35,36,36,33,36,35,36,33,36,35,36,32,35,35,34,35,36,35,35,34,36,34,36,35,34,36,36,35,34,34,36,35,35,35,36,34,36,35,35,36,34,35,36,36,33,36,34,33,35,34,33,34,36,34,33,36,38,36,35,34,36,35,36,35,34,36,34,35,35,34,33,36,35,35,35,33,36,34,34,36,35,34,33,36,33,35,36,36,36,36,35,35,33,36,34,35,30,34,33,36,35,33,36,35,34,36,36,35,35,36,35,35,36,34,36,36,38,34,35,36,33,35,35,35,31,34,35,35,36,36,36,35,35,34,34,33
58,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,53,54,54,53,54,53,53,54,53,54,54,54,54,54,54,54,53,53,54,52,54,53,54,54,54,52,54,53,53,54,54,54,56,53,54,54,54,54,53,53,54,54,53,54,54,54,53,54,54,54,53,54,54,54,54,54,53,53,54,54,52,54,53,53,54,54,53,54,54,52,53,54,54,54,54,51,51,54,53,53,53,54,54,54,54,54,53,54,54,53,54,52,56,54,54,54,53,50,53,54,52,52,53,53,53,54,52,53,54,53,53,54,53,54,54,52,52,52,52,52,52,52,52,53,54,52,50,52,54,54,54,53,52,54,51,54,51,54,50,54,53,53,54,53,52,49,54,52,52,54,51,51,54,54,52,53,54,53,50,50,54,53,52,52,53,52,53,52,54,50,53,54,52,53,53,52,52,54,52,54,53,51,52,52,53,52,54,53,49,54,53,53,54,52,53,51,54,54,52,53,53,54,52,54,52,54,54,50,52,50,54,53,54,53,54,52,53,54,53,52,54,52,52,52,51,54,51,50,52,53,54,51,51,52,53,53,49,53,53,53,53,53,51,52,52,53,53,51,53,53,54,51,53,51,52,52,53,53,53,48,53,54,53,52,53,54,50,51,52,50,53,50,56,52,53,53,54,52,52,49,53,51,52,51,54,54,47,53,52,50,53,53,51,52,53,47,50,49,53,51,54,53,52,52,48,53,51,52,51,54,49,51,48,53,52,52,51,52,52,52,50,53,52,52,52,51,49,51,52,52,49,50,52,51,49,51,51,54,52,52,53,53,51,51,54,49,52,54,50,50,50,51,51,50,49,51,51,49,50,53,50,52,54,51,53,49,52,53,52,53,51,52,52,52,50,52,51,50,49,52,51,53,53,50,52,51,50,49,52,51,52,49,51,50,51,51,53,54,51,49,53,49,49,53,52,54,53,53,50,52,52,50,52,51,50,48,52,51,51,49,52,52,51,53,51,50,52,51,49,54,51,53,51,51,54,53,49,50,52,49,53,53,48,51,49,51,52,50,53,54,50,50,54,51,50,50,50,52,51,51,52,51,50,48,49,52,53,52,50,54,50,49
58,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,52,54,54,53,54,54,54,53,53,54,54,54,54,54,53,53,54,54,54,54,54,54,54,54,54,54,54,53,53,54,54,54,52,54,54,53,56,53,54,53,53,53,53,54,54,54,54,54,52,50,53,53,54,53,54,54,54,50,54,53,53,53,54,53,52,54,54,53,53,53,53,54,53,52,54,54,54,52,52,54,53,54,54,53,53,51,53,54,54,54,54,54,54,53,53,54,55,54,53,54,53,53,54,52,53,53,54,54,53,50,52,51,52,53,53,54,51,53,52,53,53,53,54,51,52,53,53,52,50,52,53,54,54,53,52,53,53,53,52,52,52,53,54,53,53,52,51,53,54,52,54,53,54,54,53,54,55,51,53,53,53,54,51,53,53,53,53,54,52,52,51,50,53,53,53,54,54,53,52,52,54,54,54,51,52,54,53,53,53,53,53,54,51,51,54,54,54,51,53,51,52,54,53,53,52,53,52,54,52,52,52,53,54,51,51,53,50,53,53,52,53,52,53,52,50,51,51,51,52,52,49,51,53,51,52,49,52,51,52,52,53,53,53,51,52,53,52,53,50,52,51,53,50,53,52,50,52,53,54,53,49,54,54,54,53,51,54,48,54,53,52,51,53,51,54,54,54,52,52,54,49,53,52,54,49,53,49,54,52,52,53,53,52,52,50,54,51,52,52,52,52,49,54,53,53,54,54,53,52,49,51,52,49,51,53,52,52,50,49,52,52,51,52,52,51,51,53,51,52,52,52,52,54,53,53,50,54,53,52,52,51,52,51,52,52,49,53,52,53,52,53,51,52,51,52,53,52,53,50,50,52,53,52,52,50,52,51,52,53,51,50,54,53,51,52,51,51,53,51,54,53,49,50,50,54,50,53,50,51,51,50,50,52,53,52,50,52,52,53,53,52,51,54,53,51,48,52,53,51,52,51,54,53,52,51,52,50,51,51,52,53,52,51,46,50,53,51,52,46,50,50,50,50,53,53,48,49,50,51,51,52,51,52,50,54,52,53,53,51,52,53,51,53,51,50,48,56,53,52,52,53,52,52,51,53,49,51,53,50,52,49,51,53,52,51,46
76,72,72,72,72,72,72,72,72,71,72,72,71,72,70,72,72,71,72,72,71,72,72,72,72,72,72,71,69,72,71,72,72,71,72,72,72,72,71,72,71,72,71,72,71,72,70,72,72,71,70,72,71,71,71,71,71,72,72,70,73,72,72,72,70,70,71,72,69,72,71,71,72,71,72,72,72,70,72,72,72,70,70,72,72,72,70,72,72,72,69,72,71,70,72,71,72,71,71,72,71,72,66,70,70,72,69,70,72,70,70,70,72,72,70,69,70,71,71,70,72,72,72,70,69,72,69,72,70,71,71,68,68,72,69,72,67,71,70,71,72,70,71,71,72,69,69,71,70,67,70,70,71,69,71,70,72,71,70,72,70,65,66,71,71,68,69,70,72,71,72,71,72,69,68,71,71,71,72,67,72,68,70,70,69,69,71,70,69,69,66,67,68,70,72,70,70,67,72,71,70,69,72,71,70,71,70,69,68,69,70,70,70,71,70,67,72,67,69,68,67,71,71,71,69,72,66,70,66,69,71,70,70,69,69,69,70,70,70,68,71,70,69,69,69,69,67,70,67,67,71,70,69,71,69,71,68,72,68,70,69,69,70,69,66,71,69,64,68,67,72,68,71,69,68,70,70,70,70,69,68,66,69,69,68,69,68,66,69,69,65,68,66,69,66,70,67,68,66,69,72,69,70,69,70,69,69,72,68,68,65,69,64,68,66,68,68,67,70,66,66,69,65,71,68,69,71,67,70,68,71,70,68,67,68,70,69,70,65,69,70,67,68,68,65,70,69,70,65,67,66,69,68,68,69,69,65,71,66,67,69,69,67,69,68,68,69,68,66,69,69,64,69,69,69,64,67,70,65,69,65,70,67,67,68,69,67,67,68,68,68,69,68,67,67,69,67,69,68,71,65,69,66,71,70,68,68,68,69,67,65,69,70,66,65,71,67,69,67,69,63,66,67,63,68,67,68,69,66,66,69,66,65,67,69,67,67,68,70,66,69,67,67,71,65,67,67,66,68,67,66,68,64,69,66,71,67,65,67,69,66,68,68,70,65,65,70,65,67,68,69,63,69,68,63,70,63,69,68,68,72,64,62,69,70,66,61,64,68,70,66,67,64,68,69,65,70,64,66,64
